Year,UpWind.Jul_Sept,DownWind.Jul_Sept,UpWind.Oct_Dec,DownWind.Oct_Dec,UpWind.Jan_Mar,DownWind.Jan_Mar
1996,-11358.539068911989,-42228.91194720745,6569.516971969856,13175.732785883312,1748.215450466559,34407.497774485884
1997,-13604.204139943287,-17941.17287167286,10760.963128131236,11459.372495909183,6367.779407297332,23912.58357277609
1998,-5539.54523449353,-16128.610704118326,3224.8311862793685,15954.450303912075,11381.520039300545,18101.650755663144
1999,-5719.362488949272,-7421.227089909059,5976.501869927762,13375.455096229436,7899.301984669273,30610.44042553129
2000,-12397.172864457854,-26763.74418053743,13555.130929328945,11309.076949568007,13205.289849336894,21189.232515714222
2001,-10840.512641014722,-33930.51889523649,2648.327027577974,838.7700638434867,13003.446218647194,32671.409205316675
2002,-9453.593400395432,-27027.530365259063,13257.792527839996,17377.325924354725,6943.116839809769,32690.288956374345
2003,-9941.638500770387,-26549.809023889437,3850.974241020055,15327.175878321481,11014.39019850849,32474.020347348447
2004,-10231.76441309123,-24689.835346656328,5324.337285639407,17830.65208177339,9376.448050567973,21248.20522126519
2005,-9025.051335657326,-26821.6562259166,8801.67630348049,11229.951700753223,5809.624669567736,20532.153539296618
2006,-8170.618856610561,-6410.2058141685275,10320.011339383305,15306.386938954613,14044.625598605322,34477.395279806195
2007,-11675.32290688356,-17180.149198420844,11435.931906112857,14393.05246503501,15739.808040482898,15352.101392358316
2008,-12921.386476690499,-26348.707855319968,6328.959245010192,4792.274788135583,5922.302135149806,27181.538222201485
2009,-5183.552325505165,-36407.0543303252,8628.364431411665,15769.365103936514,15888.618662583607,28135.920244768975
2010,-13321.891757554555,-31618.703984825195,17588.927628624777,4333.008933754923,12295.703041357576,18544.900641449945
2011,-7977.366573312276,-20065.14486566196,2625.0632144769347,24089.713821463323,11712.552078913031,19825.753864891267
2012,-11400.364435019173,-24769.703057591352,8161.709311167604,18454.426328797144,9942.805226959343,22309.183591096535
2013,-5276.7136439264905,-28786.52919413871,5902.467789937525,9847.4872328554,14211.750286338767,26055.647449857224
2014,-15118.331890498042,-14452.661566689025,13870.606619755312,14689.294851013106,17460.410971144116,14949.050527081981
2015,-13504.714215830341,-24455.747646744527,14102.219445932973,20628.24935085987,10900.121742668747,22371.444343179995
2016,-8424.717678429943,-32754.777094818557,10624.279387327879,-2488.945159098522,7653.476312189776,19594.52994744326
2017,-13417.634015727215,-39038.44615049376,14509.053332488651,19275.589433789057,8826.00077675331,20585.61081195432
2018,-5368.319327429208,-19168.14455838773,12660.499429771722,9294.45901928942,8012.509780337246,27875.846370648556
