Year,Month,Size_class,Total_PORAM,Total_Traps,CPUE,Date
2019,5,prerecruits,12,80,0.15,2019-05-15
2019,5,recruits,48,80,0.6,2019-05-15
2019,5,small,0,80,0,2019-05-15
2019,6,prerecruits,6,80,0.075,2019-06-15
2019,6,recruits,36,80,0.45,2019-06-15
2019,6,small,0,80,0,2019-06-15
2019,7,prerecruits,11,80,0.1375,2019-07-15
2019,7,recruits,81,80,1.0125,2019-07-15
2019,7,small,0,80,0,2019-07-15
2019,8,prerecruits,2,80,0.025,2019-08-15
2019,8,recruits,63,80,0.7875,2019-08-15
2019,8,small,0,80,0,2019-08-15
2020,5,prerecruits,3,80,0.0375,2020-05-15
2020,5,recruits,7,80,0.0875,2020-05-15
2020,5,small,0,80,0,2020-05-15
2020,6,prerecruits,5,80,0.0625,2020-06-15
2020,6,recruits,18,80,0.225,2020-06-15
2020,6,small,0,80,0,2020-06-15
2020,8,prerecruits,14,80,0.175,2020-08-15
2020,8,recruits,55,80,0.6875,2020-08-15
2020,8,small,0,80,0,2020-08-15
2021,5,prerecruits,20,80,0.25,2021-05-15
2021,5,recruits,62,80,0.775,2021-05-15
2021,5,small,2,80,0.025,2021-05-15
2021,6,prerecruits,15,80,0.1875,2021-06-15
2021,6,recruits,63,80,0.7875,2021-06-15
2021,6,small,0,80,0,2021-06-15
2021,7,prerecruits,17,80,0.2125,2021-07-15
2021,7,recruits,97,80,1.2125,2021-07-15
2021,7,small,0,80,0,2021-07-15
2021,8,prerecruits,26,80,0.325,2021-08-15
2021,8,recruits,186,80,2.325,2021-08-15
2021,8,small,0,80,0,2021-08-15
