Month,Year,Total_max_catches,Date
1,2010,0,2010-01-15
1,2011,0,2011-01-15
1,2012,0,2012-01-15
1,2013,0,2013-01-15
1,2014,0,2014-01-15
1,2015,1,2015-01-15
1,2016,0,2016-01-15
1,2017,0,2017-01-15
1,2018,0,2018-01-15
1,2019,0,2019-01-15
1,2020,0,2020-01-15
1,2021,0,2021-01-15
2,2010,0,2010-02-15
2,2011,0,2011-02-15
2,2012,0,2012-02-15
2,2013,0,2013-02-15
2,2015,0,2015-02-15
2,2016,1,2016-02-15
2,2019,3,2019-02-15
2,2020,0,2020-02-15
2,2021,1,2021-02-15
3,2010,0,2010-03-15
3,2011,0,2011-03-15
3,2012,0,2012-03-15
3,2013,0,2013-03-15
3,2014,0,2014-03-15
3,2016,0,2016-03-15
3,2018,0,2018-03-15
3,2019,0,2019-03-15
3,2020,0,2020-03-15
3,2021,0,2021-03-15
4,2010,0,2010-04-15
4,2011,0,2011-04-15
4,2012,0,2012-04-15
4,2013,1,2013-04-15
4,2014,0,2014-04-15
4,2015,0,2015-04-15
4,2016,0,2016-04-15
4,2017,0,2017-04-15
4,2018,2,2018-04-15
4,2019,0,2019-04-15
4,2020,0,2020-04-15
4,2021,0,2021-04-15
5,2010,0,2010-05-15
5,2011,0,2011-05-15
5,2012,2,2012-05-15
5,2013,6,2013-05-15
5,2014,0,2014-05-15
5,2015,0,2015-05-15
5,2016,4,2016-05-15
5,2017,0,2017-05-15
5,2018,0,2018-05-15
5,2019,0,2019-05-15
5,2020,0,2020-05-15
5,2021,1,2021-05-15
6,2010,4,2010-06-15
6,2011,0,2011-06-15
6,2012,1,2012-06-15
6,2013,5,2013-06-15
6,2014,1,2014-06-15
6,2015,2,2015-06-15
6,2016,6,2016-06-15
6,2018,0,2018-06-15
6,2019,0,2019-06-15
6,2020,0,2020-06-15
6,2021,4,2021-06-15
7,2009,2,2009-07-15
7,2010,4,2010-07-15
7,2011,1,2011-07-15
7,2012,1,2012-07-15
7,2013,5,2013-07-15
7,2014,0,2014-07-15
7,2015,2,2015-07-15
7,2016,2,2016-07-15
7,2017,4,2017-07-15
7,2018,1,2018-07-15
7,2020,0,2020-07-15
8,2009,2,2009-08-15
8,2010,0,2010-08-15
8,2011,1,2011-08-15
8,2012,0,2012-08-15
8,2013,2,2013-08-15
8,2014,0,2014-08-15
8,2015,6,2015-08-15
8,2016,0,2016-08-15
8,2017,0,2017-08-15
8,2018,0,2018-08-15
8,2019,0,2019-08-15
8,2020,0,2020-08-15
9,2009,1,2009-09-15
9,2010,1,2010-09-15
9,2011,0,2011-09-15
9,2012,0,2012-09-15
9,2013,0,2013-09-15
9,2014,2,2014-09-15
9,2015,4,2015-09-15
9,2017,1,2017-09-15
9,2018,0,2018-09-15
9,2019,0,2019-09-15
9,2020,0,2020-09-15
10,2009,0,2009-10-15
10,2010,0,2010-10-15
10,2011,0,2011-10-15
10,2013,0,2013-10-15
10,2014,0,2014-10-15
10,2015,0,2015-10-15
10,2016,0,2016-10-15
10,2017,2,2017-10-15
10,2018,0,2018-10-15
10,2020,2,2020-10-15
11,2009,0,2009-11-15
11,2010,1,2010-11-15
11,2011,0,2011-11-15
11,2012,0,2012-11-15
11,2013,1,2013-11-15
11,2016,2,2016-11-15
11,2017,2,2017-11-15
11,2018,0,2018-11-15
11,2020,3,2020-11-15
12,2009,0,2009-12-15
12,2010,2,2010-12-15
12,2013,2,2013-12-15
12,2014,0,2014-12-15
12,2015,0,2015-12-15
12,2016,1,2016-12-15
12,2017,0,2017-12-15
12,2018,0,2018-12-15
12,2019,0,2019-12-15
12,2020,2,2020-12-15
