Year,mean_SST.Jul_Sept,mean_SST.Nov_Dec,mean_SST.Jan_Mar
1992,18.663416666666688,21.055015000000026,NA
1993,18.207433333333352,20.557900000000018,21.052503333333352
1994,19.132863333333358,20.226905000000045,22.748646666666712
1995,18.09227666666669,20.377130000000022,22.138053333333364
1996,18.126133333333353,20.672285000000016,22.853153333333353
1997,18.994903333333355,20.03504000000001,22.672606666666677
1998,18.536220000000014,21.035605000000032,22.930573333333353
1999,18.602600000000013,20.163845000000038,23.949856666666694
2000,18.580810000000024,21.141500000000008,22.923176666666677
2001,19.138323333333346,21.473730000000018,22.24377666666669
2002,18.293876666666694,20.634045000000015,24.71925333333337
2003,17.885890000000046,20.69971000000004,22.35984666666671
2004,18.153263333333353,20.17444500000002,23.429766666666676
2005,17.79032333333335,21.864340000000027,22.574306666666683
2006,19.135176666666684,20.411840000000012,23.40601000000002
2007,18.156540000000025,19.93040000000002,22.782730000000033
2008,18.80351333333336,21.031120000000016,23.707773333333364
2009,17.814070000000033,21.315035000000023,22.45470000000002
2010,18.671393333333356,20.291150000000016,22.867926666666694
2011,18.60982666666668,21.424285000000026,22.208633333333353
2012,18.346408333333347,21.364987500000026,23.235535000000027
2013,19.334721666666685,20.735310000000013,23.093328333333357
2014,18.86415333333335,21.318452500000035,22.20105833333336
2015,18.972688333333366,21.18722000000004,22.88891000000002
2016,19.130665000000022,21.387390000000025,24.578031666666693
2017,19.28928000000002,21.436632500000016,23.51770833333336
2018,17.98608333333335,20.403292500000035,23.845178333333354
2019,18.56768500000001,19.528820000000024,22.57418250000002
2020,19.796073333333368,19.750740000000036,22.774326666666678
2021,19.224766666666692,19.30137000000002,23.678693333333342
