Year,Month,Size_class,Wallis_Lake_Abund,Total_Traps,Wallis_Lake_CPUE
2018,12,prerecruits,173,98,1.7653061224489797
2018,12,recruits,69,98,0.7040816326530612
2018,12,small,89,98,0.9081632653061225
2019,1,prerecruits,625,98,6.377551020408164
2019,1,recruits,63,98,0.6428571428571429
2019,1,small,77,98,0.7857142857142857
2019,2,prerecruits,447,98,4.561224489795919
2019,2,recruits,44,98,0.4489795918367347
2019,2,small,14,98,0.14285714285714285
2019,3,prerecruits,318,98,3.2448979591836733
2019,3,recruits,61,98,0.6224489795918368
2019,3,small,9,98,0.09183673469387756
2019,4,prerecruits,156,98,1.5918367346938775
2019,4,recruits,41,98,0.41836734693877553
2019,4,small,7,98,0.07142857142857142
2019,5,prerecruits,74,98,0.7551020408163265
2019,5,recruits,35,98,0.35714285714285715
2019,5,small,2,98,0.02040816326530612
2019,6,prerecruits,76,98,0.7755102040816326
2019,6,recruits,56,98,0.5714285714285714
2019,6,small,3,98,0.030612244897959183
2019,7,prerecruits,39,98,0.3979591836734694
2019,7,recruits,35,98,0.35714285714285715
2019,7,small,1,98,0.01020408163265306
2019,8,prerecruits,94,98,0.9591836734693877
2019,8,recruits,47,98,0.47959183673469385
2019,8,small,3,98,0.030612244897959183
2019,9,prerecruits,170,98,1.7346938775510203
2019,9,recruits,53,98,0.5408163265306123
2019,9,small,5,98,0.05102040816326531
2019,10,prerecruits,96,98,0.9795918367346939
2019,10,recruits,31,98,0.3163265306122449
2019,10,small,3,98,0.030612244897959183
2019,11,prerecruits,104,98,1.0612244897959184
2019,11,recruits,69,98,0.7040816326530612
2019,11,small,16,98,0.16326530612244897
2019,12,prerecruits,83,98,0.8469387755102041
2019,12,recruits,70,98,0.7142857142857143
2019,12,small,69,98,0.7040816326530612
2020,1,prerecruits,346,98,3.5306122448979593
2020,1,recruits,59,98,0.6020408163265306
2020,1,small,189,98,1.9285714285714286
2020,2,prerecruits,1077,98,10.989795918367347
2020,2,recruits,119,98,1.2142857142857142
2020,2,small,199,98,2.0306122448979593
2020,3,prerecruits,882,98,9
2020,3,recruits,145,98,1.4795918367346939
2020,3,small,128,98,1.3061224489795917
2020,4,prerecruits,425,98,4.336734693877551
2020,4,recruits,91,98,0.9285714285714286
2020,4,small,40,98,0.40816326530612246
2020,5,prerecruits,355,98,3.622448979591837
2020,5,recruits,114,98,1.163265306122449
2020,5,small,11,98,0.11224489795918367
2020,6,prerecruits,359,98,3.663265306122449
2020,6,recruits,119,98,1.2142857142857142
2020,6,small,7,98,0.07142857142857142
2020,7,prerecruits,377,98,3.8469387755102042
2020,7,recruits,90,98,0.9183673469387755
2020,7,small,12,98,0.12244897959183673
2020,8,prerecruits,399,98,4.071428571428571
2020,8,recruits,66,98,0.673469387755102
2020,8,small,15,98,0.15306122448979592
2020,9,prerecruits,362,98,3.693877551020408
2020,9,recruits,73,98,0.7448979591836735
2020,9,small,13,98,0.1326530612244898
2020,10,prerecruits,253,98,2.5816326530612246
2020,10,recruits,89,98,0.9081632653061225
2020,10,small,23,98,0.23469387755102042
2020,11,prerecruits,183,98,1.8673469387755102
2020,11,recruits,161,98,1.6428571428571428
2020,11,small,61,98,0.6224489795918368
2020,12,prerecruits,193,98,1.969387755102041
2020,12,recruits,99,98,1.010204081632653
2020,12,small,251,98,2.561224489795918
2021,1,prerecruits,833,98,8.5
2021,1,recruits,82,98,0.8367346938775511
2021,1,small,338,98,3.4489795918367347
2021,2,prerecruits,892,98,9.10204081632653
2021,2,recruits,76,98,0.7755102040816326
2021,2,small,146,98,1.489795918367347
2021,3,prerecruits,926,98,9.448979591836734
2021,3,recruits,107,98,1.0918367346938775
2021,3,small,101,98,1.030612244897959
2021,4,prerecruits,355,98,3.622448979591837
2021,4,recruits,67,98,0.6836734693877551
2021,4,small,51,98,0.5204081632653061
2021,5,prerecruits,276,98,2.816326530612245
2021,5,recruits,44,98,0.4489795918367347
2021,5,small,29,98,0.29591836734693877
2021,6,prerecruits,218,98,2.2244897959183674
2021,6,recruits,56,98,0.5714285714285714
2021,6,small,11,98,0.11224489795918367
2021,11,prerecruits,158,98,1.6122448979591837
2021,11,recruits,50,98,0.5102040816326531
2021,11,small,6,98,0.061224489795918366
2021,12,prerecruits,141,98,1.4387755102040816
2021,12,recruits,81,98,0.826530612244898
2021,12,small,6,98,0.061224489795918366
2022,1,prerecruits,371,98,3.7857142857142856
2022,1,recruits,83,98,0.8469387755102041
2022,1,small,65,98,0.6632653061224489
2022,2,prerecruits,155,49,3.163265306122449
2022,2,recruits,26,49,0.5306122448979592
2022,2,small,8,49,0.16326530612244897
