Year,Month,Wallis_Lake_Abund,Wallis_Lake_CPUE,Total_PORAM,CPUE,Date
2018,11,297,7.425,NA,NA,NA
2018,12,330,8.25,NA,NA,NA
2019,1,764,19.1,NA,NA,NA
2019,2,502,12.55,NA,NA,NA
2019,3,389,9.725,NA,NA,NA
2019,4,204,5.1,NA,NA,NA
2019,5,111,2.775,60,1.5789473684210529,2019-05-15
2019,6,135,3.375,42,1.2,2019-06-15
2019,7,75,1.875,92,2.3,2019-07-15
2019,8,144,1.7142857142857142,65,1.7105263157894737,2019-08-15
2019,9,228,2.7142857142857144,NA,NA,NA
2019,10,130,1.5476190476190477,NA,NA,NA
2019,11,189,2.25,NA,NA,NA
2019,12,222,2.642857142857143,NA,NA,NA
2020,1,594,7.156626506024097,NA,NA,NA
2020,2,1396,16.819277108433734,NA,NA,NA
2020,3,1156,13.761904761904765,NA,NA,NA
2020,4,556,6.619047619047619,NA,NA,NA
2020,5,480,5.714285714285714,10,0.3225806451612903,2020-05-15
2020,6,485,5.773809523809524,23,0.6052631578947368,2020-06-15
2020,7,479,5.7023809523809526,NA,NA,NA
2020,8,480,5.714285714285714,69,1.725,2020-08-15
2020,9,448,5.333333333333333,NA,NA,NA
2020,10,365,4.345238095238095,NA,NA,NA
2020,11,405,4.821428571428571,NA,NA,NA
2020,12,543,6.464285714285714,NA,NA,NA
2021,1,1253,14.916666666666666,NA,NA,NA
2021,2,1114,13.261904761904765,NA,NA,NA
2021,3,1135,13.511904761904765,NA,NA,NA
2021,4,475,5.654761904761905,NA,NA,NA
2021,5,349,4.154761904761905,83,2.075,2021-05-15
2021,6,288,3.4285714285714284,78,2.0526315789473686,2021-06-15
2021,11,214,2.547619047619047,NA,NA,NA
2021,12,228,2.7142857142857144,NA,NA,NA
2022,1,519,6.178571428571429,NA,NA,NA
2022,2,NA,NA,NA,NA,NA
